epoch,train_err
1,0.49475
2,0.452
3,0.39075
4,0.36
5,0.334625
6,0.302125
7,0.291375
8,0.276875
9,0.260875
10,0.244375
11,0.2295
12,0.217125
13,0.194
14,0.185375
15,0.161875
16,0.155875
17,0.130125
18,0.12
19,0.10525
20,0.09025
21,0.079375
22,0.06875
23,0.059375
24,0.05
25,0.05125
26,0.04
27,0.040125
28,0.028
29,0.023625
30,0.03575
31,0.0265
32,0.026375
33,0.022
34,0.018
35,0.01675
36,0.019125
37,0.013625
38,0.008625
39,0.006125
40,0.009625
41,0.01075
42,0.015625
43,0.010875
44,0.01175
45,0.014375
46,0.007
47,0.004125
48,0.001
49,0.000125
50,0.0
